Key,Course Code,Course Name,Year,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,Appropriateness Of Assessment Tools,Course Suggestions,Like,Dislike,Hosting Tools,Lecture Rating,Text Book Availability
64e4e668031ce84c3e08d4b0,18CS520,Theory of computation,2022-23 ODD,4,4,4,4,4,4,NA,NA,appropriate,None,Problem Solving,None,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4b4,18CS520,Theory of computation,2022-23 ODD,3,2,2,1,4,1,NA,NA,appropriate,Nill,Problem Solving,Over course outcomes,good,good,available
64e4e668031ce84c3e08d4b9,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4bc,18CS520,Theory of computation,2022-23 ODD,4,5,5,5,4,5,NA,NA,changesRequired,Nope,Problem Solving,Nope,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4bf,18CS520,Theory of computation,2022-23 ODD,3,2,3,4,5,2,NA,NA,changesRequired,The classes could have been more engaging rather than being just based on the construct of the flow of syllabus,Problem Solving,It was too much of creativity for me,average,average,available
64e4e668031ce84c3e08d4c3,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,None,Problem Solving,Nothing to specify,excellent,excellent,available
64e4e668031ce84c3e08d4c5,18CS520,Theory of computation,2022-23 ODD,4,3,4,3,4,3,NA,NA,changesRequired,No,Problem Solving,More time consuming,average,average,notAvailable
64e4e668031ce84c3e08d4ce,18CS520,Theory of computation,2022-23 ODD,5,4,3,4,4,4,NA,NA,changesRequired,No proper followance of course outcomes,Problem Solving,Course outcomes,average,average,notAvailable
64e4e668031ce84c3e08d4d7,18CS520,Theory of computation,2022-23 ODD,4,5,5,5,5,5,NA,NA,appropriate,-,Problem Solving,-,excellent,excellent,available
64e4e668031ce84c3e08d4da,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,3,1,NA,NA,changesRequired,Nothing,Problem Solving,-,good,good,moreCopiesRequired
64e4e668031ce84c3e08d4e1,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,Nothing,Problem Solving,Nothing,good,good,available
64e4e668031ce84c3e08d4e3,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,changesRequired,"Good
",Problem Solving,Nothing,excellent,excellent,available
64e4e668031ce84c3e08d4ed,18CS520,Theory of computation,2022-23 ODD,3,5,5,4,5,4,NA,NA,appropriate,Nope it is super nice,Problem Solving,Physics concept in electronic part,average,excellent,moreCopiesRequired
64e4e668031ce84c3e08d504,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,5,NA,NA,appropriate,No,Problem Solving,No,excellent,excellent,available
64e4e668031ce84c3e08d50c,18CS520,Theory of computation,2022-23 ODD,5,5,5,4,5,4,NA,NA,appropriate,-,Problem Solving,-,excellent,good,available
64e4e668031ce84c3e08d516,18CS520,Theory of computation,2022-23 ODD,5,5,5,5,5,4,NA,NA,appropriate,Good content,Problem Solving,The boundary is vast,excellent,excellent,available
